original_key,canonical_key,occurrences
Fabric,Fabric,27804
Style Code,Style Code,27568
Pattern,Pattern,27507
Fabric Care,Fabric Care,23500
Suitable For,Suitable For,20733
Sleeve,Sleeve,20411
Pack of,Pack of,19417
Type,Type,18826
Ideal For,Ideal For,18489
Fit,Fit,18141
Reversible,Reversible,15726
Color,Color,14889
Brand Color,Brand Color,14029
Sales Package,Sales Package,13663
Size,Size,13420
Neck Type,Neck Type,13409
Generic Name,Generic Name,12991
Country of Origin,Country of Origin,12351
Brand Fit,Brand Fit,8183
Sleeve Type,Sleeve Type,6786
Model Name,Model Name,5664
Other Details,Other Details,5499
Occasion,Occasion,4654
Closure,Closure,4550
Secondary Color,Secondary Color,3385
Neck,Neck,3083
Hooded,Hooded,2029
Collar,Collar,2027
Number of Contents in Sales Package,Number of Contents in Sales Package,1858
Pockets,Pockets,1778
Rise,Rise,1446
Hem,Hem,1207
Domestic Warranty,Domestic Warranty,946
Pack Of,Pack of,923
Faded,Faded,906
Distressed,Distressed,906
 ,Other Attribute,894
Sole Material,Sole Material,862
Fly,Fly,860
Length Type,Length Type,572
Bottom Length,Bottom Length,535
Dupatta Length,Dupatta Length,535
Top Length,Top Length,535
Stitching Type,Stitching Type,535
Care instructions,Fabric Care,530
Pleats,Pleats,519
Character,Character,487
Waistband,Waistband,445
Outer Material,Outer Material,420
Belt Loops,Belt Loops,417
Series,Series,402
Pocket Type,Pocket Type,371
Fabric Details,Fabric Details,368
Package contains,Sales Package,364
,Other Attribute,319
Other Dimensions,Other Dimensions,304
Alteration Required,Alteration Required,265
Warranty Service Type,Warranty Service Type,263
Not Covered in Warranty,Not Covered in Warranty,262
Covered in Warranty,Covered in Warranty,260
Warranty Summary,Warranty Summary,248
Inseam Length,Inseam Length,241
Stretchable,Stretchable,215
Weight,Weight,210
Other Features,Other Features,181
Care Instructions,Fabric Care,169
Bottom Fabric,Bottom Fabric,161
Waist in inch,Waist in inch,157
Top Fabric,Top Fabric,155
Top Type,Top Type,130
Bottom Type,Bottom Type,119
Knit Type,Knit Type,114
International Warranty,International Warranty,112
Style,Style,98
Rise in inch,Rise in inch,73
Hip in inch,Hip in inch,73
Upper Pattern,Upper Pattern,73
School Shoe,School Shoe,72
Inside Leg in inch,Inside Leg in inch,70
Model Number,Model Number,65
Lining,Lining,55
Inner Material,Inner Material,31
Thigh in inch,Thigh in inch,28
Clasp Material,Clasp Material,25
Lining Material,Lining Material,25
Strap Material,Strap Material,24
Top Closure,Top Closure,20
Clasp Type,Clasp Type,19
Minimum Age,Minimum Age,19
Maximum Age,Maximum Age,19
Length in inch,Length in inch,18
Weave Type,Weave Type,16
Cuff,Cuff,15
Width in inch,Width in inch,15
Season,Season,14
Fastener,Fastener,12
Technology Used,Technology Used,11
Type for Flats,Type for Flats,11
Tip Shape,Tip Shape,10
Tanning Process,Tanning Process,10
Heel Pattern,Heel Pattern,9
Leather Type,Leather Type,9
Shoe Length,Shoe Length,9
Animal Source,Animal Source,9
Material,Material,9
Model Details,Model Details,6
Vents,Vents,6
Height,Height,5
Brand,Brand,5
Shade,Shade,5
Length,Length,5
Width,Width,4
Width at Base,Width at Base,4
Bust in inch,Bust in inch,4
Thumb Hole,Thumb Hole,4
Coat Type,Coat Type,4
Region,Region,3
Placket,Placket,2
Design,Design,2
Pleated,Pleated,2
Shoulder in inch,Shoulder in inch,2
Sleeve in inch,Sleeve in inch,2
Weave type,Weave Type,2
Depth,Depth,1
Speciality Footwear,Speciality Footwear,1
Foot Coverage,Foot Coverage,1
Fabric care,Fabric Care,1
